iter	RMSE
0	108.4426562
1	107.9330591
2	107.2620253
3	106.5698796
4	105.8690142
5	105.1649842
6	104.1608422
7	103.6290389
8	103.3276596
9	103.0036749
10	102.4727493
11	101.9030152
12	101.3087997
13	101.039909
14	100.6491521
15	100.1248879
16	99.65329067
17	99.1612729
18	98.81204327
19	98.26921105
20	97.92522254
21	97.44800746
22	96.76320228
23	96.45035436
24	96.04230637
25	95.59624492
26	95.22939267
27	94.89372582
28	94.41756948
29	94.16760324
30	93.96402169
31	93.76060279
32	93.448617
33	93.05174599
34	92.77041857
35	92.42232291
36	92.18071157
37	91.93698904
38	91.69843045
39	91.57878504
40	91.33735373
41	91.31711272
42	91.06437468
43	90.76671273
44	90.35960784
45	89.96595295
46	89.58888917
47	89.23798905
48	88.96804087
49	88.74336061
50	88.56754157
51	88.26209799
52	88.18025391
53	88.02859214
54	87.7397807
55	87.50657026
56	87.35927125
57	87.1823427
58	86.87284148
59	86.63962776
60	86.60822693
61	86.45296585
62	86.03839598
63	85.84881735
64	85.56918284
65	85.33742802
66	85.23966013
67	85.04734076
68	84.99165282
69	84.60245589
70	84.39986326
71	84.33360553
72	84.06178876
73	84.04502333
74	83.80010645
75	83.5987922
76	83.53352281
77	83.35991457
78	83.24602673
79	82.96456007
80	82.69666528
81	82.52066847
82	82.35642608
83	82.10548779
84	81.96478845
85	81.77849849
86	81.65116324
87	81.48878141
88	81.34933902
89	81.29936437
90	81.00378845
91	80.93303045
92	80.77332823
93	80.66305813
94	80.51066692
95	80.37299949
96	80.34603801
97	80.34278116
98	80.16479232
99	80.07315513
100	80.00779436
101	79.87675298
102	79.54280969
103	79.53430543
104	79.39138113
105	79.28903253
106	79.21499681
107	79.04335149
108	78.96340008
109	78.91024005
110	78.69240726
111	78.44706117
112	78.36728377
113	78.31376077
114	78.18996774
115	78.10553541
116	77.94869603
117	77.73879079
118	77.49423927
119	77.30202877
120	77.16269479
121	77.04150101
122	76.9489108
123	76.91585143
124	76.72234349
125	76.60834252
126	76.52153704
127	76.34776699
