iter	Passed	Remaining
0	20	20915
1	40	20321
2	74	24725
3	105	26215
4	137	27313
5	167	27669
6	197	28041
7	227	28248
8	236	26053
9	246	24389
10	274	24715
11	306	25216
12	336	25570
13	345	24306
14	372	24478
15	404	24881
16	435	25204
17	468	25539
18	500	25839
19	536	26268
20	567	26440
21	597	26546
22	627	26669
23	659	26806
24	690	26942
25	726	27197
26	758	27340
27	790	27450
28	822	27541
29	855	27662
30	887	27756
31	920	27834
32	955	28000
33	987	28056
34	1018	28080
35	1048	28088
36	1081	28147
37	1113	28186
38	1143	28174
39	1174	28187
40	1206	28210
41	1217	27777
42	1248	27791
43	1279	27802
44	1309	27794
45	1341	27813
46	1373	27841
47	1408	27939
48	1442	27991
49	1473	27990
50	1504	27994
51	1536	28004
52	1567	28000
53	1598	28001
54	1630	28021
55	1663	28039
56	1694	28039
57	1726	28036
58	1758	28038
59	1789	28029
60	1821	28040
61	1855	28075
62	1892	28142
63	1923	28125
64	1953	28104
65	1985	28102
66	2017	28097
67	2049	28091
68	2081	28089
69	2113	28082
70	2145	28068
71	2177	28062
72	2209	28051
73	2236	27982
74	2268	27980
75	2303	28002
76	2338	28031
77	2368	28000
78	2399	27979
79	2431	27960
80	2462	27943
81	2495	27933
82	2527	27920
83	2559	27907
84	2591	27898
85	2622	27870
86	2654	27861
87	2686	27840
88	2717	27811
89	2740	27708
90	2774	27719
91	2809	27725
92	2841	27714
93	2874	27701
94	2905	27677
95	2937	27662
96	2968	27635
97	2982	27452
98	3012	27413
99	3042	27386
100	3075	27372
101	3107	27358
102	3139	27339
103	3171	27325
104	3207	27338
105	3242	27343
106	3274	27330
107	3306	27309
108	3337	27285
109	3369	27260
110	3399	27230
111	3430	27195
112	3460	27165
113	3492	27141
114	3523	27115
115	3555	27094
116	3586	27064
117	3617	27040
118	3653	27046
119	3687	27042
120	3719	27017
121	3750	26990
122	3782	26971
123	3814	26950
124	3845	26920
125	3877	26893
126	3910	26877
127	3941	26851
