junction,incident_count,avg_res_time,risk_score
Unknown,1570,74.95319747319533,66.96382078597821
UttarahalliJunction,4,430.529157925,40.152866242038215
OperaHouseJunc,3,315.7812936444445,29.453549296727772
AgaraJunction,2,315.36975132500004,29.377096782915736
Nagarbhavi,3,256.64982115555557,23.959707924971962
MinskSquare(CTO Junction),1,245.91660705,22.886063450623297
WiproJunc-Koramangala,1,215.32322236666667,20.043665055979574
HoramavuJunction,5,206.46817792666667,19.373818663855854
ShivanahalliJunctionWOC,1,178.83197656666667,16.65330274222828
CMP GateJunc,5,165.15357513666666,15.53532345120898
BilekahalliJunc,3,158.1245613722222,14.805832237834702
SadashivnagarJunc,8,154.55188250833334,14.664981298091202
"Jayanagar 4th main,36th cross",2,152.82733126666668,14.275455738046116
NaganathapuraJunction,9,149.35353098888888,14.220224622177124
Yemalur cross junc,2,151.93926640833334,14.192946589294055
DomlurWaterTank,8,149.05263807291666,14.154052425173873
WebbsCircle,1,149.8709145,13.962561682435828
NCERT Junction,1,146.17011165,13.618724078698456
D'SouzaCircle,2,142.18809301666667,13.286975580160652
KoramangalaWaterTankJunc,2,136.7037909166667,12.777434983520703
Dr RajkumarRd-10thCrossRdJunc,3,133.77877147777778,12.543891140810508
SiddapuraJunction,1,125.7725866,11.723612012578805
KR Road-14thCross Junc,1,123.51028495,11.513424004788252
HebbalFlyoverJunc,9,120.04740685555556,11.497424217709412
Nagavara-ORR Junction,4,118.24515151249999,11.138895813870265
27th Cross Jayanagar(Ganapathi Temple),1,119.25386498333334,11.11796461363518
UCO Bank(Forum),1,117.19740893333332,10.926901498661836
SadahalliGateJunc(AirportRd),2,116.48213515,10.898662742947916
JP Nagar 9th cross-24th main jn,1,114.12928961666668,10.6418458400436
SantheCircle,8,110.67551752083334,10.588475520970903
K R MarketJunction,6,111.1296626361111,10.554236533094052
CoffeeBoardJunc,3,110.51509811666665,10.38248832449638
RamamurthyNagarJunction,6,108.21312241111112,10.283263924497069
KamrajRdJunction,1,108.49235771666666,10.11812457320369
JaiMuniRaoCircle,1,100.30911363333333,9.357828186053169
HudsonCircle,3,98.91281639444445,9.304532835661092
MillCornerRd-SampigeRdJunc,2,99.00591093333333,9.274965588414089
Ring road-Near Kengunte Junction,4,97.13454215833335,9.177531853676497
HalliThindi,1,98.24602408333334,9.166148759745008
K H Road-SiddaiahRdJunc(BMTC-BigBazaar),4,95.87507901666667,9.060516490746204
ArakereGateJunc,1,95.37588738333334,8.899487452637906
DevegowdaPetrolBunkJunc,1,92.29439425,8.613189247128663
Shivashankara circle,2,91.553803625,8.582598330944247
Batrayanapura(Amrutahalli)Junction,2,89.086181025,8.353334175002466
Srigandakaval,5,87.36924375,8.30846506497935
MekhriCircle,25,78.24494248933334,8.225067280029423
Krupanidhi College,1,88.08686613333333,8.222272345059082
BEL Circle,8,84.55293999791667,8.161455000565887
AnepalyaJunc,1,86.54174110000001,8.078716443685963
KogilluCrossJunc,8,82.99166078333333,8.016398231625251
Kudlu Gate Junc,2,84.76972296666666,7.9522967094670625
TC Palya-OM RoadJunc,2,84.72996615,7.948602946484013
BegumMahalJunc,1,84.41191578333334,7.880836669230577
FTI Junction(KanteeravaStudio),4,80.90325883333333,7.66950081547884
NTTF JunctionPeenya,1,81.31714885,7.59330520927102
ModiHospital,1,81.24858818333334,7.586935311631836
NandiCross(RaniCross),2,80.802723425,7.583727058037532
NGV RearGateJunc,1,81.02077853333334,7.565769762603941
YelhankaCircle,15,74.24405919555556,7.471183920618644
ASC Junction,2,78.13400160833334,7.335778990637966
SilkBoardJunc,6,76.21426966944445,7.310285007492706
RajeshwariJunc,5,75.64931325999999,7.219578955942187
AnilKumbleCircle,2,76.63412550833334,7.1964271188875015
CID-CarltonHouseJunc,1,76.49049193333333,7.1448657177458035
ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),3,75.66102551666667,7.144234008065462
VeerasandraGateJunction,5,74.80206292333334,7.1408618404046384
IbblurJunction',2,75.96335071666667,7.1341061560147825
toll gate mysore road,8,73.43156421875,7.128179964536475
Marigowda-TavarkereRdJunc,5,74.63129791666667,7.124996247701027
KadirenahalliJunction,3,75.21804933888889,7.103077568867453
QueensStatueCircle,1,75.95687948333332,7.095288360191502
KIMCO Junction,15,69.93515345666667,7.07084813294226
TVS CrossJunction,1,74.80607221666668,6.988368097488447
NIMHANS Junction,1,74.30124980000001,6.941465590898674
PoliceTimmaiahCircle(GPO),10,70.12844605833334,6.897723937667294
HennurRoad-ORR Junc,6,70.89063343611112,6.815671703344722
Ashoknagar Junction(ShoolayCircle),3,71.07310461666667,6.717975222517728
MaratahalliBridgeJunc,6,68.34218259722222,6.578897882851677
JohnsonMarket,1,70.3720422,6.5764071480338595
OldPoliceStation-Ashoknagar,4,69.10938538333332,6.573744745730407
Geeta Circle,1,70.25211858333334,6.565265174073755
